Time (hr),Box,Avg Cp of Mcy,Avg Cp of Bac,Avg_Mcy_rel_abund
0,2,4849,721749.4091,0.006718398
1,2,6647.800839,621896.2656,0.010689565
2.05,2,30772,1239409.857,0.024827945
5,2,4461,746804.4812,0.005973451
8.25,2,8887,933564.3056,0.00951943
20.88,2,739,54655.1238,0.013521148
31.78,2,5265,505641.0865,0.010412524
50.03,2,7592,1225589.172,0.006194572
0,3,30941,868910.6702,0.035608954
1,3,17549,1016512.164,0.017263935
2.05,3,14414,1131253.534,0.012741618
5,3,15679.85348,1843506.302,0.008505452
20.88,3,21277,745886.3781,0.028525792
31.78,3,7204,788346.2716,0.009138116
50.03,3,18670,1575887.053,0.011847296